
05-05-2012 16:16	I pick you (っ˘з˘)っ "@damnitstrue: Pick one: Chelsea VS Liverpool  #FACupFinal"	#facupfinal, @damnitstrue, chelsea, liverpool, one, pick, vs, \u0437, \u3063	198810792219521024	http://t.co/G4NF1BDL
05-05-2012 16:16	Chelsea, Jasintha kalau Chelsea menang, kita kencan yuk... RT @damnitstrue: Pick one: Chelsea VS Liverpool #FACupFinal	#facupfinal, @damnitstrue, chelsea, jasintha, kala, kencan, kita, liverpool, menang, one, pick, vs, yuk	198810788528521216	http://t.co/EaIcU5FT
05-05-2012 16:41	Great mazy run by Kalou into the box but he gets ambushed by the Liverpool defence before he can shoot #CFCWembley #FACupFinal (SL)	#cfcwembley, #facupfinal, @chelseafc, ambushed, box, defence, gets, great, kalo, liverpool, mazy, run, shoot, sl	198814566363299842	http://t.co/VlqSCNKJ
05-05-2012 16:41	RT @chelseafc: Great mazy run by Kalou into the box but he gets ambushed by the Liverpool defence before he can ... 	#facupfinal, @chelseafc, ambushed, box, defence, gets, great, kalo, liverpool, mazy, run	198814693425553408	http://t.co/gSPfwzDx
05-05-2012 17:01	Retweet if you think Liverpool will come back to win it #FACupFinal	#facupfinal, @easportsfifa, back, chelsea, come, liverpool, see, think, win	198820100210565123, 198820100885856256	http://t.co/KMxgkqVZ
05-05-2012 17:01	Half time here at Wembley and we go in 1-0 up, courtesy of a Ramires strike after 10 mins. #CFCWembley #FACupFinal (SL)	#cfcwembley, #facupfinal, @chelseafc, courtesy, go, half, mins, ramires, sl, strike, time, wembley	198820243991310336	http://t.co/BK8cOLix
05-05-2012 17:01	Agger gets a yellow for fouling Mikel. 1 min stoppage time. Still 1-0 to Chelsea. #CFCWembley #FACupFinal (SL)	#cfcwembley, #facupfinal, @chelseafc, agger, chelsea, fouling, gets, mikel, min, sl, stoppage, time, yellow	198819805900455938	http://t.co/KMxgkqVZ
05-05-2012 17:01	It's half time and Chelsea take a 1-0 lead into the break in this #FACupFinal	#facupfinal, @thefadotcom, break, chelsea, half, lead, take, time	198820117067476992	http://t.co/i1zVBt6z
05-05-2012 17:18	2nd half kicked off #CFCWembley #FACupFinal (SL)	#cfcwembley, #facupfinal, @chelseafc, half, kicked, nd, sl	198823886979203073	http://t.co/rsbUcypd, http://t.co/uI8jnvUK
05-05-2012 17:18	Retweet if you think Chelsea will see this out for the win #FACupFinal	#facupfinal, @easportsfifa, chelsea, see, think, win	198823886857572352	http://t.co/rsbUcypd, http://t.co/uI8jnvUK
05-05-2012 17:36	When you get taken off the pitch and replaced by Andy Carroll, you know you're in the wrong job #FACupFinal	#facupfinal, @mariobalotelad, andy, carroll, job, know, pitch, replaced, taken, wrong	198828412251553792	http://t.co/rsbUcypd, http://t.co/uI8jnvUK
05-05-2012 17:36	RECORD HISTORICO - Didier Drogba es el PRIMER JUGADOR en la historia de la #FACup que marca en CUATRO finales (2007, 2009, 2010 y 2012)	#facup, @chelseafc, cuatro, de, didier, drogba, el, en, es, finales, historia, historico, jugador, la, marca, primer, que, record	198828417234382848	http://t.co/rsbUcypd, http://t.co/uI8jnvUK
